Ilosc wierzcholkow i krawedzi: 47, 540
Wierzcholek startowy: 44
Czas wykonania dla macierzy: 0[ms]
Czas wykonania dla list: 0.001[ms]

--- wierzcholek koncowy --- najmniejszy koszt drogi ---
	1			63
	2			107
	3			101
	4			29
	5			38
	6			70
	7			56
	8			69
	9			60
	10			50
	11			35
	12			107
	13			47
	14			53
	15			31
	16			51
	17			52
	18			28
	19			42
	20			39
	21			93
	22			64
	23			4
	24			12
	25			35
	26			14
	27			55
	28			60
	29			45
	30			111
	31			39
	32			31
	33			129
	34			95
	35			20
	36			95
	37			2
	38			136
	39			52
	40			60
	41			66
	42			48
	43			34
	44			0
	45			110
	46			78
	47			14
