Ilosc wierzcholkow i krawedzi: 47, 540
Wierzcholek startowy: 16
Czas wykonania dla macierzy: 0[ms]
Czas wykonania dla list: 0.001[ms]

--- wierzcholek koncowy --- najmniejszy koszt drogi ---
	1			199
	2			141
	3			167
	4			58
	5			89
	6			161
	7			63
	8			154
	9			125
	10			127
	11			89
	12			102
	13			97
	14			130
	15			122
	16			0
	17			116
	18			111
	19			109
	20			141
	21			114
	22			133
	23			108
	24			101
	25			113
	26			93
	27			130
	28			25
	29			113
	30			115
	31			100
	32			131
	33			144
	34			136
	35			83
	36			134
	37			133
	38			154
	39			93
	40			84
	41			107
	42			79
	43			132
	44			36
	45			138
	46			42
	47			136
