Ilosc wierzcholkow i krawedzi: 41, 205
Wierzcholek startowy: 23
Czas wykonania dla macierzy: 0[ms]
Czas wykonania dla list: 0[ms]

--- wierzcholek koncowy --- najmniejszy koszt drogi ---
	1			1
	2			230
	3			49
	4			334
	5			79
	6			72
	7			289
	8			49
	9			177
	10			120
	11			260
	12			238
	13			49
	14			123
	15			161
	16			181
	17			56
	18			595
	19			173
	20			165
	21			49
	22			94
	23			0
	24			135
	25			239
	26			101
	27			290
	28			6
	29			56
	30			308
	31			223
	32			239
	33			208
	34			218
	35			133
	36			103
	37			73
	38			141
	39			142
	40			58
	41			148
