Ilosc wierzcholkow i krawedzi: 45, 247
Wierzcholek startowy: 39
Czas wykonania dla macierzy: 0.001[ms]
Czas wykonania dla list: 0.001[ms]

--- wierzcholek koncowy --- najmniejszy koszt drogi ---
	1			163
	2			162
	3			128
	4			194
	5			86
	6			57
	7			203
	8			256
	9			61
	10			98
	11			162
	12			191
	13			211
	14			84
	15			264
	16			256
	17			429
	18			336
	19			98
	20			215
	21			153
	22			162
	23			143
	24			330
	25			260
	26			276
	27			57
	28			212
	29			240
	30			274
	31			163
	32			176
	33			122
	34			190
	35			227
	36			52
	37			156
	38			154
	39			0
	40			184
	41			89
	42			357
	43			355
	44			196
	45			204
