Ilosc wierzcholkow i krawedzi: 48, 564
Wierzcholek startowy: 1
Czas wykonania dla macierzy: 0.001[ms]
Czas wykonania dla list: 0.001[ms]

--- wierzcholek koncowy --- najmniejszy koszt drogi ---
	1			0
	2			117
	3			100
	4			125
	5			82
	6			109
	7			174
	8			151
	9			146
	10			83
	11			117
	12			124
	13			172
	14			102
	15			94
	16			116
	17			176
	18			194
	19			111
	20			167
	21			98
	22			139
	23			152
	24			182
	25			126
	26			128
	27			149
	28			103
	29			174
	30			109
	31			100
	32			106
	33			84
	34			152
	35			71
	36			146
	37			140
	38			146
	39			68
	40			107
	41			64
	42			128
	43			111
	44			139
	45			112
	46			74
	47			122
	48			107
