Ilosc wierzcholkow i krawedzi: 38, 351
Wierzcholek startowy: 38
Czas wykonania dla macierzy: 0.001[ms]
Czas wykonania dla list: 0[ms]

--- wierzcholek koncowy --- najmniejszy koszt drogi ---
	1			75
	2			191
	3			259
	4			191
	5			183
	6			110
	7			190
	8			206
	9			135
	10			202
	11			134
	12			227
	13			169
	14			242
	15			200
	16			274
	17			196
	18			162
	19			181
	20			225
	21			218
	22			190
	23			232
	24			206
	25			197
	26			132
	27			118
	28			148
	29			130
	30			165
	31			243
	32			185
	33			171
	34			138
	35			143
	36			136
	37			176
	38			0
