Ilosc wierzcholkow i krawedzi: 38, 703
Wierzcholek startowy: 36
Czas wykonania dla macierzy: 0.001[ms]
Czas wykonania dla list: 0[ms]

--- wierzcholek koncowy --- najmniejszy koszt drogi ---
	1			20
	2			61
	3			29
	4			46
	5			41
	6			61
	7			38
	8			48
	9			37
	10			38
	11			37
	12			102
	13			97
	14			79
	15			63
	16			89
	17			44
	18			64
	19			58
	20			49
	21			68
	22			62
	23			43
	24			27
	25			53
	26			82
	27			66
	28			51
	29			86
	30			49
	31			58
	32			55
	33			34
	34			65
	35			68
	36			0
	37			32
	38			63
