Ilosc wierzcholkow i krawedzi: 41, 615
Wierzcholek startowy: 38
Czas wykonania dla macierzy: 0[ms]
Czas wykonania dla list: 0.001[ms]

--- wierzcholek koncowy --- najmniejszy koszt drogi ---
	1			114
	2			87
	3			102
	4			144
	5			148
	6			100
	7			86
	8			115
	9			121
	10			133
	11			100
	12			96
	13			105
	14			138
	15			83
	16			83
	17			105
	18			138
	19			131
	20			89
	21			132
	22			158
	23			28
	24			113
	25			88
	26			127
	27			162
	28			132
	29			91
	30			125
	31			84
	32			133
	33			48
	34			108
	35			112
	36			157
	37			43
	38			0
	39			125
	40			116
	41			47
