Ilosc wierzcholkow i krawedzi: 40, 195
Wierzcholek startowy: 5
Czas wykonania dla macierzy: 0.001[ms]
Czas wykonania dla list: 0[ms]

--- wierzcholek koncowy --- najmniejszy koszt drogi ---
	1			287
	2			213
	3			276
	4			66
	5			0
	6			287
	7			144
	8			165
	9			215
	10			435
	11			240
	12			215
	13			175
	14			181
	15			240
	16			187
	17			137
	18			143
	19			197
	20			193
	21			62
	22			200
	23			202
	24			102
	25			237
	26			212
	27			97
	28			185
	29			370
	30			125
	31			190
	32			135
	33			151
	34			212
	35			270
	36			189
	37			234
	38			236
	39			194
	40			182
